Cryomodule,Cavity Number,Tune Config PV,Tune Config Value,Tune Config Valid,HW Mode PV,HW Mode Value,HW Mode Valid,Timestamp,Query Time
01,1,ACCL:L0B:0110:TUNE_CONFIG,0,True,ACCL:L0B:0110:HWMODE,0,True,2025-11-27 12:35:50.404836,2025-12-14 00:19:20.543959
01,2,ACCL:L0B:0120:TUNE_CONFIG,0,True,ACCL:L0B:0120:HWMODE,0,True,2025-11-27 12:36:18.847917,2025-12-14 00:19:20.543959
01,3,ACCL:L0B:0130:TUNE_CONFIG,0,True,ACCL:L0B:0130:HWMODE,0,True,2025-11-27 12:35:59.628327,2025-12-14 00:19:20.543959
01,4,ACCL:L0B:0140:TUNE_CONFIG,0,True,ACCL:L0B:0140:HWMODE,0,True,2025-11-27 12:35:50.780963,2025-12-14 00:19:20.543959
01,5,ACCL:L0B:0150:TUNE_CONFIG,0,True,ACCL:L0B:0150:HWMODE,0,True,2025-11-27 12:36:02.550970,2025-12-14 00:19:20.543959
01,6,ACCL:L0B:0160:TUNE_CONFIG,0,True,ACCL:L0B:0160:HWMODE,0,True,2025-11-27 12:36:22.615472,2025-12-14 00:19:20.543959
01,7,ACCL:L0B:0170:TUNE_CONFIG,0,True,ACCL:L0B:0170:HWMODE,0,True,2025-11-27 12:36:07.848673,2025-12-14 00:19:20.543959
01,8,ACCL:L0B:0180:TUNE_CONFIG,0,True,ACCL:L0B:0180:HWMODE,0,True,2025-11-27 12:36:22.818440,2025-12-14 00:19:20.543959
02,1,ACCL:L1B:0210:TUNE_CONFIG,0,True,ACCL:L1B:0210:HWMODE,0,True,2025-12-03 08:20:11.684336,2025-12-14 00:19:20.543959
02,2,ACCL:L1B:0220:TUNE_CONFIG,0,True,ACCL:L1B:0220:HWMODE,0,True,2025-12-03 08:19:42.295291,2025-12-14 00:19:20.543959
02,3,ACCL:L1B:0230:TUNE_CONFIG,0,True,ACCL:L1B:0230:HWMODE,0,True,2025-12-03 08:20:14.737708,2025-12-14 00:19:20.543959
02,4,ACCL:L1B:0240:TUNE_CONFIG,0,True,ACCL:L1B:0240:HWMODE,0,True,2025-12-03 08:19:42.379503,2025-12-14 00:19:20.543959
02,5,ACCL:L1B:0250:TUNE_CONFIG,0,True,ACCL:L1B:0250:HWMODE,0,True,2025-12-03 08:19:42.428748,2025-12-14 00:19:20.543959
02,6,ACCL:L1B:0260:TUNE_CONFIG,0,True,ACCL:L1B:0260:HWMODE,0,True,2025-12-12 12:18:14.841993,2025-12-14 00:19:20.543959
02,7,ACCL:L1B:0270:TUNE_CONFIG,0,True,ACCL:L1B:0270:HWMODE,0,True,2025-12-03 08:20:15.939206,2025-12-14 00:19:20.543959
02,8,ACCL:L1B:0280:TUNE_CONFIG,0,True,ACCL:L1B:0280:HWMODE,0,True,2025-12-03 08:20:16.066261,2025-12-14 00:19:20.543959
03,1,ACCL:L1B:0310:TUNE_CONFIG,0,True,ACCL:L1B:0310:HWMODE,0,True,2025-12-03 08:20:18.363174,2025-12-14 00:19:20.543959
03,2,ACCL:L1B:0320:TUNE_CONFIG,0,True,ACCL:L1B:0320:HWMODE,0,True,2025-12-03 08:19:29.414865,2025-12-14 00:19:20.543959
03,3,ACCL:L1B:0330:TUNE_CONFIG,0,True,ACCL:L1B:0330:HWMODE,0,True,2025-12-03 08:20:15.851136,2025-12-14 00:19:20.543959
03,4,ACCL:L1B:0340:TUNE_CONFIG,0,True,ACCL:L1B:0340:HWMODE,0,True,2025-12-03 08:19:47.524100,2025-12-14 00:19:20.543959
03,5,ACCL:L1B:0350:TUNE_CONFIG,0,True,ACCL:L1B:0350:HWMODE,0,True,2025-12-03 08:20:19.523927,2025-12-14 00:19:20.543959
03,6,ACCL:L1B:0360:TUNE_CONFIG,0,True,ACCL:L1B:0360:HWMODE,0,True,2025-12-03 08:20:16.466024,2025-12-14 00:19:20.543959
03,7,ACCL:L1B:0370:TUNE_CONFIG,0,True,ACCL:L1B:0370:HWMODE,0,True,2025-12-03 08:20:21.476275,2025-12-14 00:19:20.543959
03,8,ACCL:L1B:0380:TUNE_CONFIG,0,True,ACCL:L1B:0380:HWMODE,0,True,2025-12-03 08:34:58.534501,2025-12-14 00:19:20.543959
04,1,ACCL:L2B:0410:TUNE_CONFIG,0,True,ACCL:L2B:0410:HWMODE,0,True,2025-12-03 08:20:13.317921,2025-12-14 00:19:20.543959
04,2,ACCL:L2B:0420:TUNE_CONFIG,0,True,ACCL:L2B:0420:HWMODE,0,True,2025-12-03 08:19:42.218470,2025-12-14 00:19:20.543959
04,3,ACCL:L2B:0430:TUNE_CONFIG,0,True,ACCL:L2B:0430:HWMODE,0,True,2025-12-03 08:19:54.795805,2025-12-14 00:19:20.543959
04,4,ACCL:L2B:0440:TUNE_CONFIG,0,True,ACCL:L2B:0440:HWMODE,0,True,2025-12-03 08:20:22.352127,2025-12-14 00:19:20.543959
04,5,ACCL:L2B:0450:TUNE_CONFIG,0,True,ACCL:L2B:0450:HWMODE,0,True,2025-12-03 08:20:17.068362,2025-12-14 00:19:20.543959
04,6,ACCL:L2B:0460:TUNE_CONFIG,0,True,ACCL:L2B:0460:HWMODE,0,True,2025-12-03 08:19:44.188745,2025-12-14 00:19:20.543959
04,7,ACCL:L2B:0470:TUNE_CONFIG,1,True,ACCL:L2B:0470:HWMODE,2,True,2025-11-17 14:38:25.843717,2025-12-14 00:19:20.543959
04,8,ACCL:L2B:0480:TUNE_CONFIG,0,True,ACCL:L2B:0480:HWMODE,0,True,2025-12-03 08:20:09.430570,2025-12-14 00:19:20.543959
05,1,ACCL:L2B:0510:TUNE_CONFIG,3,True,ACCL:L2B:0510:HWMODE,2,True,2025-11-17 14:38:35.166028,2025-12-14 00:19:20.543959
05,2,ACCL:L2B:0520:TUNE_CONFIG,0,True,ACCL:L2B:0520:HWMODE,0,True,2025-12-03 08:19:55.778165,2025-12-14 00:19:20.543959
05,3,ACCL:L2B:0530:TUNE_CONFIG,0,True,ACCL:L2B:0530:HWMODE,0,True,2025-12-03 08:19:47.290730,2025-12-14 00:19:20.543959
